Ref,Val,Package,PosX,PosY,Rot,Side
"R4","0Ω","R_0805",135.479200,-91.440000,180.000000,bottom
"U1","ATtiny24A-SS","SOIC-14_3.9x8.7mm_P1.27mm",136.144000,-84.531200,180.000000,bottom
"C1","100nF","C_0402",141.689200,-88.290400,0.000000,top
"C2","100nF","C_0402",141.782800,-89.204800,0.000000,top
"R5","0Ω","R_0805",129.489200,-82.854800,90.000000,top
